epoch,contraction,rho_inband,var_inband,n_inband,rho_probe,var_probe,within_probe,margin_probe,offclass_weight,frac_blended,n_vote,chimera_onset,blend_onset,mean_v_eff
15,0.4281,0.14563092589378357,0.0016750691345839286,256,0.14686819911003113,0.0018649977864697576,0.8205499649047852,0.6736817955970764,0.0,0.0,256,False,False,0.7185373306274414
16,0.4567,0.14722774922847748,0.001571380842605441,256,0.3589784801006317,0.007854077033698559,0.8191466927528381,0.46016818284988403,0.0,0.0,256,False,False,0.7279620170593262
17,0.4852,0.3780684173107147,0.008208299542132202,256,0.536677360534668,0.0012953028781339526,0.9720611572265625,0.4353838562965393,0.0,0.0,256,False,False,0.7965413331985474
18,0.5138,0.5622586011886597,0.0010263784131296916,256,0.5621805191040039,0.0010914878221228719,0.9709737300872803,0.40879324078559875,0.0,0.0,256,False,False,0.797605037689209
19,0.5423,0.5840694904327393,0.0007913124013043671,256,0.5850600004196167,0.0009286229033023119,0.9671357870101929,0.38207578659057617,1.3423501741272048e-06,0.0,256,False,False,0.8053271770477295
20,0.5709,0.607511043548584,0.0006564533921391558,256,0.6097844839096069,0.0007128133438527584,0.9609078168869019,0.3511233329772949,1.8868686311179772e-05,0.0,256,False,False,0.814357340335846
21,0.5994,0.6287710666656494,0.0006011076065419729,256,0.6307553648948669,0.0005873966147191823,0.9508862495422363,0.3201308250427246,4.928962152916938e-05,0.0,256,False,False,0.8235849142074585
22,0.6279,0.6496173143386841,0.0004417480829346232,256,0.6510462760925293,0.0005078212125226855,0.9406458139419556,0.28959962725639343,0.00018252684094477445,0.0,256,False,False,0.8333716988563538
23,0.6565,0.6667068600654602,0.000411416133683673,256,0.6700447797775269,0.00040447062929160893,0.9272251725196838,0.25718048214912415,0.0004883100045844913,0.0,256,False,False,0.8422145843505859
24,0.685,0.6847950220108032,0.0003730352335509224,256,0.7997609376907349,0.0020858352072536945,0.9263163208961487,0.12655538320541382,0.0029218471609055996,0.0,256,False,False,0.8520693182945251
25,0.7136,0.8162481188774109,0.002117003920115934,256,0.8660798668861389,0.00010384846973465756,0.9638200998306274,0.09774022549390793,0.01872643455862999,0.0234375,256,False,False,0.8913884162902832
26,0.7421,0.8788167238235474,8.78035966564994e-05,256,0.8838568329811096,6.648492126259953e-05,0.9700038433074951,0.08614705502986908,0.089443638920784,0.3203125,256,False,False,0.8950930833816528
27,0.7707,0.8950420022010803,5.7944464796122475e-05,256,0.8955649733543396,7.269645720953122e-05,0.9690431952476501,0.07347820699214935,0.16928070783615112,0.375,256,False,True,0.8982231616973877
28,0.7992,0.9052398204803467,6.587084993725512e-05,256,0.9061841368675232,6.143165956018493e-05,0.9653469324111938,0.059162888675928116,0.2122933566570282,0.375,256,False,True,0.9021593928337097
29,0.8277,0.9134237766265869,5.819457413736018e-05,256,0.9139946699142456,5.610320295090787e-05,0.961763858795166,0.04776919633150101,0.23369379341602325,0.375,256,False,True,0.9058380126953125
30,0.8563,0.9208164215087891,5.556342875934206e-05,256,0.9416725635528564,9.396114182891324e-05,0.9583471417427063,0.01667458936572075,0.27750396728515625,0.3828125,256,False,True,0.9095340371131897
31,0.8848,0.9440580010414124,6.965285154691969e-05,256,0.9625914096832275,1.3470244994095992e-05,0.9703565835952759,0.007765212561935186,0.41088351607322693,0.86328125,256,True,True,0.9167555570602417
32,0.9134,0.9650282859802246,1.0437737500978983e-05,256,0.967556893825531,1.1106322745035868e-05,0.9718433618545532,0.004286549519747496,0.4338034987449646,0.9765625,256,True,True,0.9184370040893555
33,0.9419,0.96929532289505,8.989771654199785e-06,256,0.9719653129577637,8.643463843327481e-06,0.9723058938980103,0.00034061004407703876,0.6158565282821655,1.0,256,True,True,0.9192644953727722
34,0.9705,0.9723331928253174,6.368325955463661e-06,256,0.9747263193130493,5.732144927605987e-06,0.9732078909873962,-0.0015183817595243454,0.808361291885376,1.0,256,True,True,0.9196251630783081
35,0.999,0.9741331934928894,5.632899981122819e-06,256,0.9755519032478333,6.554286755999783e-06,0.9732299447059631,-0.002321979496628046,0.8666413426399231,1.0,256,True,True,0.9196558594703674
